"Plot Title: two"
"#","Date Time, GMT-08:00","K-Type, °F (LGR S/N: 21379101, SEN S/N: 21379101, LBL: A)","K-Type, °F (LGR S/N: 21379101, SEN S/N: 21379101, LBL: B)","K-Type, °F (LGR S/N: 21379101, SEN S/N: 21379101, LBL: C)","K-Type, °F (LGR S/N: 21379101, SEN S/N: 21379101, LBL: D)","Host Connected (LGR S/N: 21379101)","Stopped (LGR S/N: 21379101)","End Of File (LGR S/N: 21379101)"
22,11/07/25 06:01:03 AM,48.83,54.10,52.07,53.73,,,
23,11/07/25 06:01:06 AM,48.87,54.00,52.00,53.74,,,
24,11/07/25 06:01:09 AM,48.87,53.98,52.05,53.64,,,
25,11/07/25 06:01:12 AM,48.90,53.91,51.91,53.64,,,
26,11/07/25 06:01:15 AM,48.92,53.89,52.03,53.58,,,
27,11/07/25 06:01:18 AM,48.94,53.80,52.00,53.56,,,
28,11/07/25 06:01:21 AM,48.90,53.71,52.00,53.49,,,
29,11/07/25 06:01:24 AM,48.88,53.67,51.94,53.53,,,
30,11/07/25 06:01:27 AM,48.92,53.65,51.89,53.51,,,
31,11/07/25 06:01:30 AM,48.76,53.67,51.85,53.53,,,
32,11/07/25 06:01:33 AM,48.51,53.58,51.85,53.55,,,
33,11/07/25 06:01:36 AM,48.27,53.62,51.76,53.62,,,
34,11/07/25 06:01:39 AM,48.00,53.60,51.69,53.64,,,
35,11/07/25 06:01:42 AM,47.68,53.53,51.58,53.65,,,
36,11/07/25 06:01:45 AM,47.52,53.40,51.44,53.71,,,
37,11/07/25 06:01:48 AM,47.37,53.33,51.24,53.73,,,
38,11/07/25 06:01:51 AM,47.21,53.26,51.13,53.73,,,
39,11/07/25 06:01:54 AM,47.14,53.15,51.06,53.82,,,
40,11/07/25 06:01:57 AM,47.08,53.11,50.94,53.80,,,
41,11/07/25 06:02:00 AM,46.98,53.06,50.88,53.73,,,
42,11/07/25 06:02:03 AM,46.99,52.97,50.74,53.78,,,
43,11/07/25 06:02:06 AM,47.03,52.97,50.72,53.73,,,
44,11/07/25 06:02:09 AM,47.12,52.99,50.68,53.73,,,
45,11/07/25 06:02:12 AM,47.10,52.92,50.59,53.78,,,
46,11/07/25 06:02:15 AM,47.10,52.95,50.67,53.78,,,
47,11/07/25 06:02:18 AM,47.17,53.02,50.59,53.71,,,
48,11/07/25 06:02:21 AM,47.25,53.06,50.76,53.62,,,
49,11/07/25 06:02:24 AM,47.44,53.06,50.76,53.65,,,
50,11/07/25 06:02:27 AM,47.53,53.01,50.76,53.62,,,
51,11/07/25 06:02:30 AM,47.52,53.15,50.81,53.64,,,
52,11/07/25 06:02:33 AM,47.62,53.20,50.88,53.62,,,
53,11/07/25 06:02:36 AM,47.62,53.28,50.95,53.58,,,
54,11/07/25 06:02:39 AM,47.66,53.28,50.97,53.58,,,
55,11/07/25 06:02:42 AM,47.73,53.37,50.97,53.56,,,
56,11/07/25 06:02:45 AM,47.68,53.47,51.12,53.58,,,
57,11/07/25 06:02:48 AM,47.71,53.55,51.08,53.56,,,
58,11/07/25 06:02:51 AM,47.91,53.69,51.03,53.58,,,
59,11/07/25 06:02:54 AM,47.84,53.76,51.08,53.56,,,
60,11/07/25 06:02:57 AM,47.79,53.92,51.21,53.65,,,
61,11/07/25 06:03:00 AM,47.73,54.12,51.33,53.60,,,
62,11/07/25 06:03:03 AM,47.88,54.28,51.37,53.65,,,
63,11/07/25 06:03:06 AM,47.93,54.28,51.37,53.58,,,
64,11/07/25 06:03:09 AM,47.86,54.19,51.42,53.69,,,
65,11/07/25 06:03:12 AM,47.93,54.12,51.37,53.65,,,
66,11/07/25 06:03:15 AM,48.07,54.28,51.35,53.67,,,
67,11/07/25 06:03:18 AM,48.02,54.10,51.33,53.69,,,
68,11/07/25 06:03:21 AM,47.98,54.01,51.35,53.76,,,
69,11/07/25 06:03:24 AM,47.95,54.03,51.31,53.71,,,
70,11/07/25 06:03:27 AM,47.89,54.07,51.40,53.71,,,
71,11/07/25 06:03:30 AM,47.79,54.18,51.51,53.71,,,
72,11/07/25 06:03:33 AM,47.53,54.23,51.58,53.71,,,
73,11/07/25 06:03:36 AM,47.50,54.34,51.80,53.67,,,
74,11/07/25 06:03:39 AM,47.39,54.39,51.94,53.76,,,
75,11/07/25 06:03:42 AM,47.30,54.45,52.02,53.73,,,
76,11/07/25 06:03:45 AM,47.64,54.46,52.18,53.76,,,
77,11/07/25 06:03:48 AM,47.66,54.43,52.25,53.69,,,
78,11/07/25 06:03:51 AM,47.55,54.37,52.34,53.80,,,
79,11/07/25 06:03:54 AM,47.80,54.30,52.39,53.82,,,
80,11/07/25 06:03:57 AM,48.04,54.28,52.45,53.78,,,
81,11/07/25 06:04:00 AM,47.91,54.39,52.38,53.80,,,
82,11/07/25 06:04:03 AM,47.86,54.48,52.43,53.76,,,
83,11/07/25 06:04:06 AM,47.79,54.52,52.52,53.80,,,
84,11/07/25 06:04:09 AM,47.77,54.59,52.77,53.80,,,
85,11/07/25 06:04:12 AM,47.77,54.64,52.90,53.82,,,
86,11/07/25 06:04:15 AM,47.75,54.64,52.93,53.87,,,
87,11/07/25 06:04:18 AM,47.79,54.79,53.01,53.85,,,
88,11/07/25 06:04:21 AM,47.77,54.84,53.13,53.94,,,
89,11/07/25 06:04:24 AM,47.68,54.84,53.02,53.91,,,
90,11/07/25 06:04:27 AM,47.75,55.08,53.01,53.96,,,
91,11/07/25 06:04:30 AM,47.75,55.31,53.22,53.98,,,
92,11/07/25 06:04:33 AM,47.80,55.45,53.24,54.00,,,
93,11/07/25 06:04:36 AM,47.86,55.63,53.31,54.00,,,
94,11/07/25 06:04:39 AM,47.88,55.69,53.33,53.98,,,
95,11/07/25 06:04:42 AM,48.00,55.74,53.29,54.00,,,
96,11/07/25 06:04:45 AM,47.98,55.63,53.29,54.00,,,
97,11/07/25 06:04:48 AM,47.86,55.49,53.17,53.98,,,
98,11/07/25 06:04:51 AM,47.84,55.47,53.17,54.01,,,
99,11/07/25 06:04:54 AM,47.89,55.44,53.11,53.94,,,
100,11/07/25 06:04:57 AM,48.04,55.40,52.92,54.00,,,
101,11/07/25 06:05:00 AM,48.06,55.38,52.88,53.96,,,
102,11/07/25 06:05:03 AM,48.09,55.42,52.90,54.03,,,
103,11/07/25 06:05:06 AM,48.15,55.49,52.93,54.00,,,
104,11/07/25 06:05:09 AM,48.16,55.49,53.10,53.98,,,
105,11/07/25 06:05:12 AM,48.33,55.54,53.04,53.91,,,
106,11/07/25 06:05:15 AM,48.42,55.63,53.06,53.96,,,
107,11/07/25 06:05:18 AM,48.43,55.58,53.08,54.03,,,
108,11/07/25 06:05:21 AM,48.51,55.45,53.15,54.00,,,
109,11/07/25 06:05:24 AM,48.65,55.35,53.04,53.89,,,
110,11/07/25 06:05:27 AM,48.54,55.20,52.99,53.85,,,
111,11/07/25 06:05:30 AM,48.51,55.08,52.90,53.89,,,
112,11/07/25 06:05:33 AM,48.36,55.00,52.84,53.82,,,
113,11/07/25 06:05:36 AM,48.42,54.84,52.83,53.82,,,
114,11/07/25 06:05:39 AM,48.24,54.73,52.75,53.82,,,
115,11/07/25 06:05:42 AM,48.15,54.68,52.70,53.74,,,
116,11/07/25 06:05:45 AM,47.95,54.61,52.54,53.69,,,
117,11/07/25 06:05:48 AM,47.89,54.57,52.39,53.64,,,
118,11/07/25 06:05:51 AM,47.82,54.46,52.23,53.65,,,
119,11/07/25 06:05:54 AM,47.79,54.52,52.25,53.51,,,
120,11/07/25 06:05:57 AM,47.71,54.63,52.05,53.56,,,
121,11/07/25 06:06:00 AM,47.66,54.70,51.84,53.53,,,
122,11/07/25 06:06:03 AM,47.68,54.75,51.73,53.55,,,
123,11/07/25 06:06:06 AM,47.68,54.84,51.67,53.46,,,
124,11/07/25 06:06:09 AM,47.64,54.91,51.67,53.38,,,
125,11/07/25 06:06:12 AM,47.68,55.06,51.66,53.46,,,
126,11/07/25 06:06:15 AM,47.55,55.00,51.76,53.38,,,
127,11/07/25 06:06:18 AM,47.62,55.11,51.85,53.42,,,
128,11/07/25 06:06:21 AM,47.57,55.13,51.98,53.29,,,
129,11/07/25 06:06:24 AM,47.59,55.26,52.00,53.38,,,
130,11/07/25 06:06:27 AM,47.61,55.40,51.98,53.38,,,
131,11/07/25 06:06:30 AM,47.59,55.42,52.07,53.37,,,
132,11/07/25 06:06:33 AM,47.61,55.54,52.23,53.37,,,
133,11/07/25 06:06:36 AM,47.57,55.63,52.52,53.38,,,
134,11/07/25 06:06:39 AM,47.61,55.72,52.63,53.47,,,
135,11/07/25 06:06:42 AM,47.52,55.58,52.65,53.42,,,
136,11/07/25 06:06:45 AM,47.44,55.38,52.63,53.49,,,
137,11/07/25 06:06:48 AM,47.50,55.26,52.65,53.53,,,
138,11/07/25 06:06:51 AM,47.50,55.20,52.57,53.51,,,
139,11/07/25 06:06:54 AM,47.46,55.06,52.59,53.56,,,
140,11/07/25 06:06:57 AM,47.50,55.11,52.61,53.56,,,
141,11/07/25 06:07:00 AM,47.50,55.27,52.72,53.64,,,
142,11/07/25 06:07:03 AM,47.53,55.38,52.72,53.69,,,
143,11/07/25 06:07:06 AM,47.53,55.44,52.81,53.67,,,
144,11/07/25 06:07:09 AM,47.59,55.35,52.90,53.74,,,
145,11/07/25 06:07:12 AM,47.59,55.40,52.92,53.80,,,
146,11/07/25 06:07:15 AM,47.64,55.51,53.01,53.76,,,
147,11/07/25 06:07:18 AM,47.70,55.45,53.10,53.82,,,
148,11/07/25 06:07:21 AM,47.73,55.45,53.31,53.76,,,
149,11/07/25 06:07:24 AM,47.61,55.44,53.44,53.85,,,
150,11/07/25 06:07:27 AM,47.48,55.53,53.42,53.78,,,
151,11/07/25 06:07:30 AM,47.43,55.56,53.49,53.85,,,
152,11/07/25 06:07:33 AM,47.46,55.54,53.49,53.80,,,
153,11/07/25 06:07:36 AM,47.35,55.54,53.51,53.89,,,
154,11/07/25 06:07:39 AM,47.34,55.54,53.53,53.85,,,
155,11/07/25 06:07:42 AM,47.41,55.60,53.46,53.89,,,
156,11/07/25 06:07:45 AM,47.34,55.76,53.55,53.89,,,
157,11/07/25 06:07:48 AM,47.37,55.74,53.46,53.83,,,
158,11/07/25 06:07:51 AM,47.35,55.87,53.44,53.85,,,
159,11/07/25 06:07:54 AM,47.43,55.90,53.51,53.83,,,
160,11/07/25 06:07:57 AM,47.41,55.89,53.44,53.85,,,
161,11/07/25 06:08:00 AM,47.41,55.89,53.40,53.89,,,
162,11/07/25 06:08:03 AM,47.41,55.74,53.29,53.91,,,
163,11/07/25 06:08:06 AM,47.48,55.58,53.17,53.85,,,
164,11/07/25 06:08:09 AM,47.35,55.47,53.22,53.85,,,
165,11/07/25 06:08:12 AM,47.32,55.42,53.24,53.87,,,
166,11/07/25 06:08:15 AM,47.44,55.56,53.13,53.91,,,
167,11/07/25 06:08:18 AM,47.79,55.35,53.15,53.89,,,
168,11/07/25 06:08:21 AM,47.84,55.33,53.10,53.94,,,
169,11/07/25 06:08:24 AM,48.00,55.27,53.10,53.87,,,
170,11/07/25 06:08:27 AM,48.00,55.22,53.19,53.96,,,
171,11/07/25 06:08:30 AM,48.09,55.13,53.22,53.87,,,
172,11/07/25 06:08:33 AM,48.04,55.24,53.29,53.92,,,
173,11/07/25 06:08:36 AM,48.33,55.06,53.15,54.00,,,
174,11/07/25 06:08:39 AM,48.43,55.04,53.13,53.96,,,
175,11/07/25 06:08:42 AM,48.69,54.86,53.15,53.96,,,
176,11/07/25 06:08:45 AM,48.81,54.90,53.06,53.98,,,
177,11/07/25 06:08:48 AM,48.76,54.88,53.11,54.03,,,
178,11/07/25 06:08:51 AM,48.70,54.81,53.10,54.03,,,
179,11/07/25 06:08:54 AM,48.74,54.88,52.97,54.00,,,
180,11/07/25 06:08:57 AM,48.83,54.99,52.84,53.98,,,
181,11/07/25 06:09:00 AM,48.76,55.06,52.97,54.01,,,
182,11/07/25 06:09:03 AM,48.83,54.86,53.04,53.98,,,
183,11/07/25 06:09:06 AM,48.83,54.88,53.04,54.01,,,
184,11/07/25 06:09:09 AM,48.94,55.06,52.99,54.10,,,
185,11/07/25 06:09:12 AM,48.88,54.90,52.88,54.07,,,
186,11/07/25 06:09:15 AM,48.85,54.77,52.97,53.98,,,
187,11/07/25 06:09:18 AM,48.67,54.66,52.93,53.96,,,
188,11/07/25 06:09:21 AM,48.63,54.81,52.90,54.00,,,
189,11/07/25 06:09:24 AM,48.40,54.77,52.81,54.03,,,
190,11/07/25 06:09:27 AM,48.38,55.00,52.74,53.96,,,
191,11/07/25 06:09:30 AM,48.25,55.22,52.83,54.00,,,
192,11/07/25 06:09:33 AM,48.04,55.38,52.88,54.01,,,
193,11/07/25 06:09:36 AM,48.02,55.56,52.93,53.96,,,
194,11/07/25 06:09:39 AM,48.04,55.54,52.72,53.98,,,
195,11/07/25 06:09:42 AM,47.89,55.38,52.90,53.98,,,
196,11/07/25 06:09:45 AM,47.82,55.38,52.92,54.03,,,
197,11/07/25 06:09:48 AM,47.84,55.42,52.83,54.00,,,
198,11/07/25 06:09:51 AM,48.04,55.29,52.90,54.05,,,
199,11/07/25 06:09:54 AM,48.52,55.17,52.99,54.03,,,
200,11/07/25 06:09:57 AM,48.76,55.11,53.02,54.07,,,
201,11/07/25 06:10:00 AM,48.87,55.11,52.97,54.03,,,
202,11/07/25 06:10:03 AM,48.83,55.11,52.86,54.03,,,
203,11/07/25 06:10:06 AM,48.78,54.84,52.84,54.09,,,
204,11/07/25 06:10:09 AM,48.79,54.90,52.84,54.07,,,
205,11/07/25 06:10:12 AM,48.63,55.02,52.83,54.07,,,
206,11/07/25 06:10:15 AM,48.60,54.88,52.90,54.12,,,
207,11/07/25 06:10:18 AM,48.90,54.81,52.92,54.09,,,
208,11/07/25 06:10:21 AM,49.03,54.73,52.84,54.10,,,
209,11/07/25 06:10:24 AM,49.01,54.54,52.79,54.09,,,
210,11/07/25 06:10:27 AM,48.97,54.37,52.75,54.10,,,
211,11/07/25 06:10:30 AM,48.83,54.43,52.59,54.18,,,
212,11/07/25 06:10:33 AM,48.76,54.45,52.50,54.10,,,
213,11/07/25 06:10:36 AM,48.58,54.43,52.50,54.12,,,
214,11/07/25 06:10:39 AM,48.49,54.27,52.43,54.10,,,
215,11/07/25 06:10:42 AM,48.43,54.14,52.38,54.10,,,
216,11/07/25 06:10:45 AM,48.29,54.07,52.41,54.10,,,
217,11/07/25 06:10:48 AM,48.11,54.09,52.32,54.03,,,
218,11/07/25 06:10:51 AM,48.11,54.21,52.39,54.07,,,
219,11/07/25 06:10:54 AM,48.18,54.30,52.48,54.10,,,
220,11/07/25 06:10:57 AM,48.18,54.36,52.61,54.05,,,
221,11/07/25 06:11:00 AM,48.25,54.36,52.61,53.98,,,
222,11/07/25 06:11:03 AM,48.29,54.39,52.66,54.09,,,
223,11/07/25 06:11:06 AM,48.33,54.39,52.66,54.07,,,
224,11/07/25 06:11:09 AM,48.42,54.39,52.68,54.09,,,
225,11/07/25 06:11:12 AM,48.40,54.41,52.56,54.12,,,
226,11/07/25 06:11:15 AM,48.40,54.43,52.63,54.09,,,
227,11/07/25 06:11:18 AM,48.40,54.37,52.70,54.12,,,
228,11/07/25 06:11:21 AM,48.34,54.34,52.95,54.12,,,
229,11/07/25 06:11:24 AM,48.52,54.34,52.99,54.16,,,
230,11/07/25 06:11:27 AM,48.92,54.27,53.01,54.18,,,
231,11/07/25 06:11:30 AM,49.15,54.39,53.11,54.16,,,
232,11/07/25 06:11:33 AM,49.28,54.59,52.99,54.18,,,
233,11/07/25 06:11:36 AM,49.23,54.99,53.33,54.19,,,
234,11/07/25 06:11:39 AM,49.21,55.02,53.44,54.19,,,
235,11/07/25 06:11:42 AM,49.19,55.04,53.55,54.14,,,
236,11/07/25 06:11:45 AM,49.14,54.93,53.56,54.19,,,
237,11/07/25 06:11:48 AM,49.05,54.82,53.55,54.21,,,
238,11/07/25 06:11:51 AM,49.08,54.77,53.37,54.16,,,
239,11/07/25 06:11:54 AM,49.17,54.75,53.19,54.16,,,
240,11/07/25 06:11:57 AM,49.19,54.63,52.97,54.07,,,
241,11/07/25 06:12:00 AM,49.15,54.54,52.77,54.10,,,
242,11/07/25 06:12:03 AM,49.06,54.34,52.65,54.12,,,
243,11/07/25 06:12:06 AM,49.10,54.18,52.54,54.12,,,
244,11/07/25 06:12:09 AM,49.10,54.16,52.45,54.10,,,
245,11/07/25 06:12:12 AM,49.03,54.18,52.38,54.05,,,
246,11/07/25 06:12:15 AM,49.01,54.05,52.30,54.01,,,
247,11/07/25 06:12:18 AM,49.01,53.98,52.25,53.94,,,
248,11/07/25 06:12:21 AM,49.01,53.94,52.23,53.85,,,
249,11/07/25 06:12:24 AM,49.01,53.96,52.12,53.83,,,
250,11/07/25 06:12:27 AM,48.90,53.91,52.20,53.82,,,
251,11/07/25 06:12:30 AM,48.92,53.94,52.16,53.74,,,
252,11/07/25 06:12:33 AM,48.85,53.96,52.20,53.74,,,
253,11/07/25 06:12:36 AM,48.85,53.94,52.20,53.74,,,
254,11/07/25 06:12:39 AM,48.87,53.91,52.27,53.80,,,
255,11/07/25 06:12:42 AM,48.85,53.83,52.16,53.67,,,
256,11/07/25 06:12:45 AM,48.97,53.78,52.09,53.62,,,
257,11/07/25 06:12:48 AM,48.87,53.64,52.09,53.60,,,
258,11/07/25 06:12:51 AM,48.87,53.55,52.07,53.60,,,
259,11/07/25 06:12:54 AM,48.90,53.56,52.00,53.60,,,
260,11/07/25 06:12:57 AM,48.88,53.51,51.98,53.60,,,
261,11/07/25 06:13:00 AM,48.92,53.38,51.96,53.47,,,
262,11/07/25 06:13:03 AM,48.88,53.33,52.00,53.44,,,
263,11/07/25 06:13:06 AM,48.88,53.31,51.94,53.55,,,
264,11/07/25 06:13:09 AM,48.87,53.24,51.84,53.49,,,
265,11/07/25 06:13:12 AM,48.81,53.28,51.85,53.47,,,
266,11/07/25 06:13:15 AM,48.85,53.24,51.85,53.44,,,
267,11/07/25 06:13:18 AM,48.78,53.24,51.82,53.46,,,
268,11/07/25 06:13:21 AM,48.74,53.22,51.85,53.58,,,
269,11/07/25 06:13:24 AM,48.65,53.15,51.80,53.55,,,
270,11/07/25 06:13:27 AM,48.49,53.20,51.71,53.56,,,
271,11/07/25 06:13:30 AM,48.43,53.28,51.84,53.62,,,
272,11/07/25 06:13:33 AM,48.31,53.33,51.84,53.51,,,
273,11/07/25 06:13:36 AM,48.20,53.33,51.84,53.55,,,
274,11/07/25 06:13:39 AM,48.13,53.29,51.73,53.49,,,
275,11/07/25 06:13:42 AM,48.02,53.33,51.73,53.51,,,
276,11/07/25 06:13:45 AM,47.97,53.31,51.53,53.37,,,
277,11/07/25 06:13:48 AM,47.80,53.37,51.28,53.33,,,
278,11/07/25 06:13:51 AM,47.82,53.42,51.10,53.35,,,
279,11/07/25 06:13:54 AM,47.80,53.37,50.95,53.35,,,
280,11/07/25 06:13:57 AM,47.77,53.31,50.83,53.35,,,
281,11/07/25 06:14:00 AM,47.68,53.26,50.83,53.29,,,
282,11/07/25 06:14:03 AM,47.68,53.28,50.92,53.37,,,
283,11/07/25 06:14:06 AM,47.70,53.33,50.97,53.31,,,
284,11/07/25 06:14:09 AM,47.66,53.35,51.06,53.37,,,
285,11/07/25 06:14:12 AM,47.62,53.31,51.19,53.40,,,
286,11/07/25 06:14:15 AM,47.62,53.40,51.21,53.47,,,
287,11/07/25 06:14:18 AM,47.64,53.46,51.40,53.49,,,
288,11/07/25 06:14:21 AM,47.59,53.55,51.49,53.55,,,
289,11/07/25 06:14:24 AM,47.55,53.74,51.44,53.56,,,
290,11/07/25 06:14:27 AM,47.61,53.82,51.57,53.58,,,
291,11/07/25 06:14:30 AM,47.59,53.94,51.69,53.65,,,
292,11/07/25 06:14:33 AM,47.50,53.96,51.82,53.64,,,
293,11/07/25 06:14:36 AM,47.59,53.94,51.96,53.65,,,
294,11/07/25 06:14:39 AM,47.53,53.96,51.98,53.56,,,
295,11/07/25 06:14:42 AM,47.52,53.96,51.76,53.65,,,
296,11/07/25 06:14:45 AM,47.52,53.80,51.82,53.62,,,
297,11/07/25 06:14:48 AM,47.53,53.64,51.80,53.64,,,
298,11/07/25 06:14:51 AM,47.59,53.51,51.73,53.58,,,
299,11/07/25 06:14:54 AM,47.59,53.42,51.66,53.58,,,
300,11/07/25 06:14:57 AM,47.61,53.33,51.62,53.55,,,
301,11/07/25 06:15:00 AM,47.70,53.11,51.49,53.58,,,
302,11/07/25 06:15:03 AM,47.73,52.90,51.44,53.58,,,
303,11/07/25 06:15:06 AM,47.75,52.84,51.37,53.49,,,
304,11/07/25 06:15:09 AM,47.68,52.75,51.26,53.58,,,
305,11/07/25 06:15:12 AM,47.73,52.81,51.26,53.60,,,
306,11/07/25 06:15:15 AM,47.71,52.90,51.12,53.58,,,
307,11/07/25 06:15:18 AM,47.68,52.95,51.13,53.56,,,
308,11/07/25 06:15:21 AM,47.75,53.01,51.08,53.62,,,
309,11/07/25 06:15:24 AM,47.73,53.02,51.01,53.62,,,
310,11/07/25 06:15:27 AM,47.68,53.15,50.99,53.60,,,
311,11/07/25 06:15:30 AM,47.71,53.02,51.04,53.60,,,
312,11/07/25 06:15:33 AM,47.75,53.02,50.97,53.56,,,
313,11/07/25 06:15:36 AM,47.77,53.11,51.01,53.62,,,
314,11/07/25 06:15:39 AM,47.79,53.28,51.08,53.58,,,
315,11/07/25 06:15:42 AM,47.79,53.60,51.10,53.53,,,
316,11/07/25 06:15:45 AM,47.79,53.58,51.19,53.51,,,
317,11/07/25 06:15:48 AM,47.79,53.49,51.22,53.49,,,
318,11/07/25 06:15:51 AM,47.77,53.49,51.37,53.46,,,
319,11/07/25 06:15:54 AM,47.82,53.51,51.26,53.49,,,
320,11/07/25 06:15:57 AM,47.88,53.53,51.37,53.49,,,
321,11/07/25 06:16:00 AM,47.79,53.56,51.39,53.49,,,
322,11/07/25 06:16:03 AM,47.84,53.55,51.49,53.47,,,
323,11/07/25 06:16:06 AM,47.79,53.62,51.39,53.46,,,
324,11/07/25 06:16:09 AM,47.82,53.71,51.44,53.47,,,
325,11/07/25 06:16:12 AM,47.86,53.92,51.49,53.47,,,
326,11/07/25 06:16:15 AM,47.75,54.18,51.53,53.42,,,
327,11/07/25 06:16:18 AM,47.71,54.39,51.66,53.35,,,
328,11/07/25 06:16:21 AM,47.89,54.43,51.89,53.40,,,
329,11/07/25 06:16:24 AM,47.97,54.57,52.03,53.40,,,
330,11/07/25 06:16:27 AM,47.82,54.54,52.12,53.42,,,
331,11/07/25 06:16:30 AM,47.73,54.50,52.07,53.44,,,
332,11/07/25 06:16:33 AM,47.59,54.43,51.91,53.46,,,
333,11/07/25 06:16:36 AM,47.62,54.39,51.89,53.46,,,
334,11/07/25 06:16:39 AM,47.75,54.43,51.85,53.51,,,
335,11/07/25 06:16:42 AM,47.79,54.46,52.11,53.49,,,
336,11/07/25 06:16:45 AM,47.77,54.43,52.11,53.56,,,
337,11/07/25 06:16:48 AM,47.75,54.37,52.12,53.62,,,
338,11/07/25 06:16:51 AM,47.73,54.41,52.16,53.62,,,
339,11/07/25 06:16:54 AM,47.79,54.54,52.32,53.67,,,
340,11/07/25 06:16:57 AM,47.80,54.54,52.52,53.65,,,
341,11/07/25 06:17:00 AM,47.84,54.54,52.72,53.69,,,
342,11/07/25 06:17:03 AM,47.88,54.63,52.83,53.73,,,
343,11/07/25 06:17:06 AM,47.97,54.68,52.97,53.76,,,
344,11/07/25 06:17:09 AM,48.15,54.66,53.06,53.85,,,
345,11/07/25 06:17:12 AM,48.51,54.72,53.10,53.85,,,
346,11/07/25 06:17:15 AM,48.74,54.81,53.11,53.92,,,
347,11/07/25 06:17:18 AM,48.79,54.84,53.31,53.94,,,
348,11/07/25 06:17:21 AM,48.78,54.86,53.31,53.94,,,
349,11/07/25 06:17:24 AM,48.61,54.93,53.24,53.98,,,
350,11/07/25 06:17:27 AM,48.54,55.00,53.20,53.98,,,
351,11/07/25 06:17:30 AM,48.49,54.97,53.26,54.00,,,
352,11/07/25 06:17:33 AM,48.38,54.93,53.29,53.96,,,
353,11/07/25 06:17:36 AM,48.24,54.97,53.17,54.05,,,
354,11/07/25 06:17:39 AM,48.15,54.88,53.28,54.01,,,
355,11/07/25 06:17:42 AM,48.07,54.91,53.24,54.00,,,
356,11/07/25 06:17:45 AM,48.02,54.91,53.26,54.00,,,
357,11/07/25 06:17:48 AM,47.88,54.97,53.35,54.05,,,
358,11/07/25 06:17:51 AM,47.80,54.95,53.29,54.10,,,
359,11/07/25 06:17:54 AM,47.73,54.93,53.26,54.10,,,
360,11/07/25 06:17:57 AM,47.68,54.91,53.24,54.12,,,
361,11/07/25 06:18:00 AM,47.68,54.95,53.20,54.16,,,
362,11/07/25 06:18:03 AM,47.61,54.97,53.15,54.12,,,
363,11/07/25 06:18:06 AM,47.59,54.99,53.15,54.12,,,
364,11/07/25 06:18:09 AM,47.52,55.02,53.19,54.16,,,
365,11/07/25 06:18:12 AM,47.57,55.04,53.26,54.14,,,
366,11/07/25 06:18:15 AM,47.53,55.08,53.29,54.16,,,
367,11/07/25 06:18:18 AM,47.61,55.06,53.24,54.18,,,
368,11/07/25 06:18:21 AM,47.59,55.04,53.19,54.10,,,
369,11/07/25 06:18:24 AM,47.61,55.06,53.24,54.16,,,
370,11/07/25 06:18:27 AM,47.55,55.02,53.31,54.12,,,
371,11/07/25 06:18:30 AM,47.57,54.97,53.37,54.12,,,
372,11/07/25 06:18:33 AM,47.48,55.06,53.37,54.16,,,
373,11/07/25 06:18:36 AM,47.44,55.08,53.47,54.18,,,
374,11/07/25 06:18:39 AM,47.43,55.06,53.49,54.12,,,
375,11/07/25 06:18:42 AM,47.37,55.06,53.55,54.10,,,
