Plot Title: One,,,,,,,,
#,"Date Time, GMT-08:00","K-Type, °F (LGR S/N: 21278710, SEN S/N: 21278710, LBL: A)","K-Type, °F (LGR S/N: 21278710, SEN S/N: 21278710, LBL: B)","K-Type, °F (LGR S/N: 21278710, SEN S/N: 21278710, LBL: C)","K-Type, °F (LGR S/N: 21278710, SEN S/N: 21278710, LBL: D)",Host Connected (LGR S/N: 21278710),Stopped (LGR S/N: 21278710),End Of File (LGR S/N: 21278710)
88,11/7/2025 6:04,49.05,54.03,52.68,50.63,,,
89,11/7/2025 6:04,49.05,53.92,52.7,50.74,,,
90,11/7/2025 6:04,49.06,53.92,52.72,50.76,,,
91,11/7/2025 6:04,49.06,53.87,52.72,50.83,,,
92,11/7/2025 6:04,49.08,53.83,52.7,50.77,,,
93,11/7/2025 6:04,49.06,53.82,52.77,50.74,,,
94,11/7/2025 6:04,49.06,53.82,52.86,50.88,,,
95,11/7/2025 6:04,49.03,53.82,52.79,50.9,,,
96,11/7/2025 6:04,49.06,53.74,52.74,50.77,,,
97,11/7/2025 6:04,49.05,53.73,52.72,50.88,,,
98,11/7/2025 6:04,49.01,53.76,52.68,50.79,,,
99,11/7/2025 6:04,49.1,53.74,52.68,50.77,,,
100,11/7/2025 6:04,49.08,53.73,52.66,50.74,,,
101,11/7/2025 6:05,49.08,53.74,52.61,50.59,,,
102,11/7/2025 6:05,49.06,53.74,52.43,50.45,,,
103,11/7/2025 6:05,49.05,53.74,52.38,50.31,,,
104,11/7/2025 6:05,49.03,53.73,52.36,50.29,,,
105,11/7/2025 6:05,49.05,53.76,52.32,50.22,,,
106,11/7/2025 6:05,49.03,53.78,52.38,50.22,,,
107,11/7/2025 6:05,49.05,53.8,52.43,50.22,,,
108,11/7/2025 6:05,49.03,53.8,52.39,50.22,,,
109,11/7/2025 6:05,48.92,53.89,52.41,50.22,,,
110,11/7/2025 6:05,48.94,53.82,52.34,50.04,,,
111,11/7/2025 6:05,48.9,53.87,52.32,49.87,,,
112,11/7/2025 6:05,48.96,53.85,52.16,49.75,,,
113,11/7/2025 6:05,48.88,53.89,51.98,49.6,,,
114,11/7/2025 6:05,48.88,53.92,52.05,49.55,,,
115,11/7/2025 6:05,48.88,53.98,52.09,49.66,,,
116,11/7/2025 6:05,48.88,53.96,52.05,49.6,,,
117,11/7/2025 6:05,48.87,53.92,51.96,49.51,,,
118,11/7/2025 6:05,48.83,54.01,51.8,49.46,,,
119,11/7/2025 6:05,48.85,54,51.66,49.41,,,
120,11/7/2025 6:05,48.78,54.01,51.6,49.32,,,
121,11/7/2025 6:06,48.76,54.03,51.49,49.28,,,
122,11/7/2025 6:06,48.83,54.03,51.55,49.35,,,
123,11/7/2025 6:06,48.78,54.07,51.44,49.26,,,
124,11/7/2025 6:06,48.72,53.91,51.46,49.28,,,
125,11/7/2025 6:06,48.72,53.83,51.46,49.35,,,
126,11/7/2025 6:06,48.65,53.83,51.66,49.3,,,
127,11/7/2025 6:06,48.69,53.76,51.71,49.28,,,
128,11/7/2025 6:06,48.67,53.71,51.73,49.39,,,
129,11/7/2025 6:06,48.63,53.67,51.71,49.33,,,
130,11/7/2025 6:06,48.61,53.64,51.53,49.35,,,
131,11/7/2025 6:06,48.61,53.65,51.49,49.39,,,
132,11/7/2025 6:06,48.67,53.69,51.39,49.5,,,
133,11/7/2025 6:06,48.65,53.65,51.42,49.46,,,
134,11/7/2025 6:06,48.67,53.71,51.57,49.5,,,
135,11/7/2025 6:06,48.7,53.62,51.71,49.53,,,
136,11/7/2025 6:06,48.63,53.67,51.75,49.55,,,
137,11/7/2025 6:06,48.67,53.56,51.78,49.53,,,
138,11/7/2025 6:06,48.65,53.56,51.67,49.59,,,
139,11/7/2025 6:06,48.61,53.58,51.57,49.53,,,
140,11/7/2025 6:06,48.74,53.46,51.55,49.5,,,
141,11/7/2025 6:07,48.69,53.62,51.55,49.51,,,
142,11/7/2025 6:07,48.65,53.56,51.57,49.55,,,
143,11/7/2025 6:07,48.67,53.6,51.51,49.51,,,
144,11/7/2025 6:07,48.72,53.6,51.49,49.62,,,
145,11/7/2025 6:07,48.74,53.49,51.53,49.6,,,
146,11/7/2025 6:07,48.67,53.47,51.53,49.71,,,
147,11/7/2025 6:07,48.74,53.35,51.71,49.84,,,
148,11/7/2025 6:07,48.81,53.26,51.85,50,,,
149,11/7/2025 6:07,48.87,53.19,51.89,50,,,
150,11/7/2025 6:07,48.83,53.17,51.85,50.14,,,
151,11/7/2025 6:07,48.81,53.13,52.05,50.38,,,
152,11/7/2025 6:07,48.81,53.11,52.25,50.65,,,
153,11/7/2025 6:07,48.85,53.15,52.41,50.77,,,
154,11/7/2025 6:07,48.9,53.13,52.39,50.81,,,
155,11/7/2025 6:07,48.97,53.22,52.47,50.83,,,
156,11/7/2025 6:07,49.03,53.1,52.5,50.85,,,
157,11/7/2025 6:07,49.06,53.02,52.36,50.74,,,
158,11/7/2025 6:07,49.19,52.95,52.25,50.85,,,
159,11/7/2025 6:07,49.32,52.81,52.36,50.9,,,
160,11/7/2025 6:07,49.33,52.74,52.43,51.08,,,
161,11/7/2025 6:08,49.35,52.68,52.43,51.13,,,
162,11/7/2025 6:08,49.48,52.68,52.45,51.13,,,
163,11/7/2025 6:08,49.53,52.59,52.39,51.13,,,
164,11/7/2025 6:08,49.53,52.59,52.34,51.1,,,
165,11/7/2025 6:08,49.62,52.45,52.23,50.94,,,
166,11/7/2025 6:08,49.6,52.54,52.16,50.97,,,
167,11/7/2025 6:08,49.6,52.41,52.18,50.85,,,
168,11/7/2025 6:08,49.62,52.45,52.16,50.83,,,
169,11/7/2025 6:08,49.62,52.47,52.03,50.68,,,
170,11/7/2025 6:08,49.62,52.39,51.89,50.63,,,
171,11/7/2025 6:08,49.59,52.41,51.78,50.43,,,
172,11/7/2025 6:08,49.68,52.38,51.91,50.45,,,
173,11/7/2025 6:08,49.6,52.34,51.93,50.43,,,
174,11/7/2025 6:08,49.57,52.45,51.94,50.5,,,
175,11/7/2025 6:08,49.59,52.52,52.03,50.54,,,
176,11/7/2025 6:08,49.59,52.57,52.18,50.65,,,
177,11/7/2025 6:08,49.55,52.7,52.29,50.86,,,
178,11/7/2025 6:08,49.55,52.7,52.3,50.85,,,
179,11/7/2025 6:08,49.57,52.68,52.38,50.94,,,
180,11/7/2025 6:08,49.57,52.81,52.3,50.97,,,
181,11/7/2025 6:09,49.57,52.75,52.41,50.99,,,
182,11/7/2025 6:09,49.55,52.81,52.45,51.17,,,
183,11/7/2025 6:09,49.51,52.83,52.48,51.17,,,
184,11/7/2025 6:09,49.51,52.84,52.48,51.19,,,
185,11/7/2025 6:09,49.55,52.88,52.5,51.28,,,
186,11/7/2025 6:09,49.55,52.95,52.56,51.15,,,
187,11/7/2025 6:09,49.55,53.01,52.48,51.17,,,
188,11/7/2025 6:09,49.48,53.11,52.61,51.26,,,
189,11/7/2025 6:09,49.5,53.06,52.56,51.17,,,
190,11/7/2025 6:09,49.46,53.02,52.52,51.21,,,
191,11/7/2025 6:09,49.48,53.15,52.52,51.21,,,
192,11/7/2025 6:09,49.48,53.11,52.56,51.12,,,
193,11/7/2025 6:09,49.51,53.11,52.45,51.01,,,
194,11/7/2025 6:09,49.44,53.04,52.41,50.94,,,
195,11/7/2025 6:09,49.42,53.11,52.34,50.79,,,
196,11/7/2025 6:09,49.41,53.17,52.32,50.74,,,
197,11/7/2025 6:09,49.44,53.19,52.41,50.59,,,
198,11/7/2025 6:09,49.33,53.19,52.32,50.63,,,
199,11/7/2025 6:09,49.35,53.19,52.34,50.59,,,
200,11/7/2025 6:09,49.39,53.17,52.36,50.63,,,
201,11/7/2025 6:10,49.35,53.22,52.43,50.65,,,
202,11/7/2025 6:10,49.3,53.19,52.39,50.67,,,
203,11/7/2025 6:10,49.33,53.31,52.43,50.63,,,
204,11/7/2025 6:10,49.39,53.31,52.39,50.67,,,
205,11/7/2025 6:10,49.44,53.28,52.39,50.63,,,
206,11/7/2025 6:10,49.46,53.29,52.39,50.67,,,
207,11/7/2025 6:10,49.44,53.31,52.38,50.7,,,
208,11/7/2025 6:10,49.53,53.22,52.32,50.72,,,
209,11/7/2025 6:10,49.55,53.2,52.32,50.74,,,
210,11/7/2025 6:10,49.55,53.02,52.23,50.68,,,
211,11/7/2025 6:10,49.55,52.97,52.18,50.65,,,
212,11/7/2025 6:10,49.48,52.99,52.2,50.61,,,
213,11/7/2025 6:10,49.48,52.95,52.18,50.5,,,
214,11/7/2025 6:10,49.48,52.99,52.03,50.34,,,
215,11/7/2025 6:10,49.41,52.93,51.82,50.13,,,
216,11/7/2025 6:10,49.37,52.99,51.73,49.96,,,
217,11/7/2025 6:10,49.33,53.1,51.78,49.96,,,
218,11/7/2025 6:10,49.26,52.97,51.78,49.95,,,
219,11/7/2025 6:10,49.28,53.01,51.87,49.86,,,
220,11/7/2025 6:10,49.21,53.06,51.78,49.77,,,
221,11/7/2025 6:11,49.21,52.99,51.84,49.8,,,
222,11/7/2025 6:11,49.15,52.95,51.78,49.84,,,
223,11/7/2025 6:11,49.12,53.02,51.82,49.84,,,
224,11/7/2025 6:11,49.14,52.99,51.87,49.86,,,
225,11/7/2025 6:11,49.14,53.01,51.96,50.04,,,
226,11/7/2025 6:11,49.14,52.97,51.93,50.13,,,
227,11/7/2025 6:11,49.15,52.86,51.93,50.04,,,
228,11/7/2025 6:11,49.19,52.79,51.93,50.27,,,
229,11/7/2025 6:11,49.14,52.81,52,50.43,,,
230,11/7/2025 6:11,49.17,52.7,52.03,50.45,,,
231,11/7/2025 6:11,49.24,52.74,51.96,50.49,,,
232,11/7/2025 6:11,49.17,52.61,51.94,50.5,,,
233,11/7/2025 6:11,49.26,52.65,52.02,50.61,,,
234,11/7/2025 6:11,49.3,52.56,52.05,50.61,,,
235,11/7/2025 6:11,49.24,52.57,52.07,50.65,,,
236,11/7/2025 6:11,49.3,52.56,52.07,50.74,,,
237,11/7/2025 6:11,49.28,52.57,52.14,50.81,,,
238,11/7/2025 6:11,49.32,52.63,52.18,50.77,,,
239,11/7/2025 6:11,49.28,52.66,52.21,50.9,,,
240,11/7/2025 6:11,49.3,52.65,52.27,50.95,,,
241,11/7/2025 6:12,49.33,52.79,52.29,50.85,,,
242,11/7/2025 6:12,49.39,52.86,52.27,50.86,,,
243,11/7/2025 6:12,49.33,52.83,52.18,50.81,,,
244,11/7/2025 6:12,49.37,52.86,52.16,50.81,,,
245,11/7/2025 6:12,49.35,52.99,52.14,50.79,,,
246,11/7/2025 6:12,49.5,53.1,52.12,50.72,,,
247,11/7/2025 6:12,49.41,53.1,52.16,50.72,,,
248,11/7/2025 6:12,49.44,53.08,52.18,50.65,,,
249,11/7/2025 6:12,49.51,53.11,52.16,50.65,,,
250,11/7/2025 6:12,49.37,53.15,52.11,50.59,,,
251,11/7/2025 6:12,49.39,53.19,52.16,50.58,,,
252,11/7/2025 6:12,49.46,53.08,52.18,50.65,,,
253,11/7/2025 6:12,49.46,53.11,52.25,50.65,,,
254,11/7/2025 6:12,49.41,53.15,52.25,50.7,,,
255,11/7/2025 6:12,49.44,53.13,52.18,50.59,,,
256,11/7/2025 6:12,49.37,53.2,52.11,50.56,,,
257,11/7/2025 6:12,49.39,53.19,52.11,50.4,,,
258,11/7/2025 6:12,49.37,53.28,52.14,50.41,,,
259,11/7/2025 6:12,49.37,53.29,52.2,50.34,,,
260,11/7/2025 6:12,49.33,53.38,52.47,50.27,,,
261,11/7/2025 6:13,49.28,53.35,52.47,50.27,,,
262,11/7/2025 6:13,49.26,53.37,52.57,50.22,,,
263,11/7/2025 6:13,49.3,53.46,52.5,50.34,,,
264,11/7/2025 6:13,49.21,53.53,52.57,50.52,,,
265,11/7/2025 6:13,49.23,53.49,52.57,50.49,,,
266,11/7/2025 6:13,49.23,53.49,52.56,50.4,,,
267,11/7/2025 6:13,49.21,53.56,52.36,50.34,,,
268,11/7/2025 6:13,49.19,53.46,52.3,50.22,,,
269,11/7/2025 6:13,49.12,53.49,52.2,50.14,,,
270,11/7/2025 6:13,49.15,53.44,52.12,50.09,,,
271,11/7/2025 6:13,49.08,53.44,52.03,50.11,,,
272,11/7/2025 6:13,49.05,53.46,52.02,50.11,,,
273,11/7/2025 6:13,49.06,53.53,52.05,50.07,,,
274,11/7/2025 6:13,49.08,53.53,52.14,50.11,,,
275,11/7/2025 6:13,49.03,53.55,52.2,50.2,,,
276,11/7/2025 6:13,49.03,53.55,52.25,50.07,,,
277,11/7/2025 6:13,49.05,53.6,52.29,50.05,,,
278,11/7/2025 6:13,48.97,53.58,52.29,49.95,,,
279,11/7/2025 6:13,48.96,53.62,52.09,49.86,,,
280,11/7/2025 6:13,49.01,53.62,51.93,49.82,,,
281,11/7/2025 6:14,48.94,53.65,51.93,49.87,,,
282,11/7/2025 6:14,48.88,53.53,51.98,49.77,,,
283,11/7/2025 6:14,48.94,53.58,51.82,49.75,,,
284,11/7/2025 6:14,48.92,53.55,51.76,49.5,,,
285,11/7/2025 6:14,48.9,53.53,51.58,49.48,,,
286,11/7/2025 6:14,48.94,53.62,51.42,49.55,,,
287,11/7/2025 6:14,48.9,53.58,51.73,49.55,,,
288,11/7/2025 6:14,48.81,53.62,51.91,49.73,,,
289,11/7/2025 6:14,48.78,53.69,52.05,49.86,,,
290,11/7/2025 6:14,48.78,53.64,52.11,49.95,,,
291,11/7/2025 6:14,48.76,53.58,52.2,50.13,,,
292,11/7/2025 6:14,48.74,53.69,52.29,50.18,,,
293,11/7/2025 6:14,48.76,53.73,52.3,50.29,,,
294,11/7/2025 6:14,48.74,53.65,52.5,50.58,,,
295,11/7/2025 6:14,48.74,53.51,52.45,50.58,,,
296,11/7/2025 6:14,48.74,53.49,52.52,50.61,,,
297,11/7/2025 6:14,48.83,53.38,52.39,50.67,,,
298,11/7/2025 6:14,48.81,53.4,52.45,50.72,,,
299,11/7/2025 6:14,48.92,53.44,52.52,50.81,,,
300,11/7/2025 6:14,48.92,53.33,52.5,50.86,,,
301,11/7/2025 6:15,48.94,53.46,52.56,50.9,,,
302,11/7/2025 6:15,48.96,53.4,52.48,50.92,,,
303,11/7/2025 6:15,48.96,53.37,52.43,50.86,,,
304,11/7/2025 6:15,48.99,53.38,52.45,50.9,,,
305,11/7/2025 6:15,48.96,53.4,52.36,50.88,,,
306,11/7/2025 6:15,48.96,53.4,52.38,50.94,,,
307,11/7/2025 6:15,49.01,53.42,52.43,50.86,,,
308,11/7/2025 6:15,49.05,53.46,52.43,50.86,,,
309,11/7/2025 6:15,49.03,53.42,52.47,50.81,,,
310,11/7/2025 6:15,49.01,53.49,52.52,50.9,,,
311,11/7/2025 6:15,48.99,53.51,52.5,50.86,,,
312,11/7/2025 6:15,48.99,53.49,52.57,50.97,,,
313,11/7/2025 6:15,49.01,53.46,52.5,50.97,,,
314,11/7/2025 6:15,48.96,53.4,52.45,50.94,,,
315,11/7/2025 6:15,48.97,53.42,52.45,50.92,,,
316,11/7/2025 6:15,48.96,53.4,52.47,50.86,,,
317,11/7/2025 6:15,48.96,53.4,52.39,50.67,,,
318,11/7/2025 6:15,48.99,53.46,52.41,50.68,,,
319,11/7/2025 6:15,48.96,53.47,52.34,50.67,,,
320,11/7/2025 6:15,48.92,53.4,52.3,50.59,,,
321,11/7/2025 6:16,48.96,53.35,52.21,50.59,,,
322,11/7/2025 6:16,48.96,53.37,52.29,50.52,,,
323,11/7/2025 6:16,48.92,53.31,52.29,50.52,,,
324,11/7/2025 6:16,48.97,53.29,52.29,50.5,,,
325,11/7/2025 6:16,48.94,53.37,52.29,50.52,,,
326,11/7/2025 6:16,48.94,53.33,52.3,50.52,,,
327,11/7/2025 6:16,49.01,53.37,52.32,50.52,,,
328,11/7/2025 6:16,49.03,53.28,52.3,50.58,,,
329,11/7/2025 6:16,48.94,53.19,52.27,50.65,,,
330,11/7/2025 6:16,49.01,53.15,52.25,50.63,,,
331,11/7/2025 6:16,48.97,53.1,52.21,50.61,,,
332,11/7/2025 6:16,49.01,53.06,52.18,50.59,,,
333,11/7/2025 6:16,48.96,53.01,52.16,50.5,,,
334,11/7/2025 6:16,49.01,53.04,52.12,50.58,,,
335,11/7/2025 6:16,48.99,52.97,52.12,50.56,,,
336,11/7/2025 6:16,48.99,53.01,52.05,50.41,,,
337,11/7/2025 6:16,48.92,53.01,51.96,50.31,,,
338,11/7/2025 6:16,48.94,52.95,51.93,50.18,,,
339,11/7/2025 6:16,48.92,53.06,51.78,50.11,,,
340,11/7/2025 6:16,48.96,53.13,51.69,50,,,
341,11/7/2025 6:17,48.92,53.06,51.64,49.87,,,
342,11/7/2025 6:17,48.83,53.1,51.51,49.8,,,
343,11/7/2025 6:17,48.87,53.13,51.53,49.75,,,
344,11/7/2025 6:17,48.83,53.17,51.44,49.55,,,
345,11/7/2025 6:17,48.87,53.19,51.42,49.62,,,
346,11/7/2025 6:17,48.83,53.22,51.49,49.51,,,
347,11/7/2025 6:17,48.79,53.26,51.55,49.6,,,
348,11/7/2025 6:17,48.76,53.2,51.67,49.59,,,
349,11/7/2025 6:17,48.78,53.37,51.71,49.59,,,
350,11/7/2025 6:17,48.7,53.4,51.82,49.6,,,
351,11/7/2025 6:17,48.78,53.44,51.94,49.66,,,
352,11/7/2025 6:17,48.69,53.42,52.05,49.84,,,
353,11/7/2025 6:17,48.72,53.51,52.21,49.96,,,
354,11/7/2025 6:17,48.67,53.46,52.25,49.93,,,
355,11/7/2025 6:17,48.69,53.53,52.21,49.91,,,
356,11/7/2025 6:17,48.76,53.53,52.16,49.86,,,
357,11/7/2025 6:17,48.69,53.51,52.14,49.68,,,
358,11/7/2025 6:17,48.65,53.47,52.21,49.69,,,
359,11/7/2025 6:17,48.72,53.56,52.36,49.84,,,
360,11/7/2025 6:17,48.67,53.58,52.45,49.75,,,
361,11/7/2025 6:18,48.65,53.53,52.57,49.98,,,
362,11/7/2025 6:18,48.61,53.55,52.59,50.11,,,
363,11/7/2025 6:18,48.61,53.58,52.74,50.38,,,
364,11/7/2025 6:18,48.63,53.64,52.74,50.5,,,
365,11/7/2025 6:18,48.63,53.67,52.83,50.49,,,
366,11/7/2025 6:18,48.6,53.69,52.88,50.54,,,
367,11/7/2025 6:18,48.63,53.76,52.86,50.63,,,
368,11/7/2025 6:18,48.63,53.76,52.77,50.67,,,
369,11/7/2025 6:18,48.51,53.8,52.88,50.59,,,
370,11/7/2025 6:18,48.61,53.82,52.84,50.59,,,
371,11/7/2025 6:18,48.65,53.78,52.88,50.49,,,
372,11/7/2025 6:18,48.69,53.85,52.75,50.34,,,
373,11/7/2025 6:18,48.74,53.92,52.79,50.34,,,
374,11/7/2025 6:18,48.74,53.78,52.7,50.31,,,
375,11/7/2025 6:18,48.78,53.91,52.68,50.23,,,
376,11/7/2025 6:18,48.81,53.94,52.59,50.18,,,
377,11/7/2025 6:18,48.76,53.83,52.65,50.11,,,
378,11/7/2025 6:18,48.81,54.01,52.63,50.27,,,
379,11/7/2025 6:18,48.81,53.92,52.66,50.13,,,
380,11/7/2025 6:18,48.76,54,52.68,50.34,,,
381,11/7/2025 6:19,48.74,53.94,52.81,50.38,,,
382,11/7/2025 6:19,48.83,53.94,52.84,50.54,,,
383,11/7/2025 6:19,48.81,53.96,52.88,50.72,,,
384,11/7/2025 6:19,48.83,53.92,52.95,50.85,,,
385,11/7/2025 6:19,48.83,53.92,52.93,50.97,,,
386,11/7/2025 6:19,48.9,53.94,52.9,51.08,,,
387,11/7/2025 6:19,48.92,53.98,52.92,51.19,,,
388,11/7/2025 6:19,48.9,53.89,52.9,51.19,,,
389,11/7/2025 6:19,48.96,53.92,52.92,51.19,,,
390,11/7/2025 6:19,48.97,53.92,52.93,51.26,,,
391,11/7/2025 6:19,48.97,53.83,52.95,51.3,,,
392,11/7/2025 6:19,49.05,53.85,52.95,51.4,,,
393,11/7/2025 6:19,49.03,53.89,52.99,51.51,,,
394,11/7/2025 6:19,49.06,53.89,53.06,51.66,,,
395,11/7/2025 6:19,49.05,53.8,53.04,51.66,,,
396,11/7/2025 6:19,49.08,53.83,52.95,51.53,,,
397,11/7/2025 6:19,49.06,53.74,52.9,51.44,,,
398,11/7/2025 6:19,49.14,53.71,52.84,51.31,,,
399,11/7/2025 6:19,49.17,53.73,52.81,51.3,,,
400,11/7/2025 6:19,49.12,53.73,52.79,51.13,,,
401,11/7/2025 6:20,49.15,53.71,52.63,50.99,,,
402,11/7/2025 6:20,49.19,53.73,52.66,50.94,,,
403,11/7/2025 6:20,49.24,53.69,52.63,50.86,,,
404,11/7/2025 6:20,49.19,53.69,52.56,50.77,,,
405,11/7/2025 6:20,49.19,53.71,52.56,50.76,,,
406,11/7/2025 6:20,49.21,53.64,52.52,50.76,,,
407,11/7/2025 6:20,49.15,53.64,52.5,50.68,,,
408,11/7/2025 6:20,49.17,53.55,52.43,50.67,,,
409,11/7/2025 6:20,49.17,53.51,52.34,50.63,,,
410,11/7/2025 6:20,49.15,53.56,52.32,50.59,,,
411,11/7/2025 6:20,49.19,53.49,52.38,50.65,,,
412,11/7/2025 6:20,49.17,53.47,52.48,50.63,,,
413,11/7/2025 6:20,49.19,53.42,52.38,50.58,,,
414,11/7/2025 6:20,49.19,53.49,52.25,50.4,,,
415,11/7/2025 6:20,49.17,53.55,52.18,50.47,,,
416,11/7/2025 6:20,49.15,53.55,52.27,50.4,,,
417,11/7/2025 6:20,49.12,53.64,52.14,50.32,,,
418,11/7/2025 6:20,49.08,53.6,52.12,50.43,,,
419,11/7/2025 6:20,49.12,53.67,52.11,50.32,,,
420,11/7/2025 6:20,49.15,53.67,52.02,50.31,,,
421,11/7/2025 6:21,49.17,53.69,52.07,50.23,,,
422,11/7/2025 6:21,49.19,53.73,52.09,50.34,,,
423,11/7/2025 6:21,49.21,53.74,52.05,50.32,,,
