"Plot Title: three"
"#","Date Time, GMT-08:00","K-Type, °F (LGR S/N: 21504775, SEN S/N: 21504775, LBL: A)","K-Type, °F (LGR S/N: 21504775, SEN S/N: 21504775, LBL: B)","K-Type, °F (LGR S/N: 21504775, SEN S/N: 21504775, LBL: C)","K-Type, °F (LGR S/N: 21504775, SEN S/N: 21504775, LBL: D)","Host Connected (LGR S/N: 21504775)","Stopped (LGR S/N: 21504775)","End Of File (LGR S/N: 21504775)"
49,11/07/25 06:02:24 AM,44.85,45.64,45.32,49.59,,,
50,11/07/25 06:02:27 AM,44.76,45.70,45.30,49.50,,,
51,11/07/25 06:02:30 AM,44.80,45.68,45.27,49.50,,,
52,11/07/25 06:02:33 AM,44.74,45.66,45.39,49.46,,,
53,11/07/25 06:02:36 AM,44.71,45.61,45.32,49.53,,,
54,11/07/25 06:02:39 AM,44.71,45.57,45.43,49.59,,,
55,11/07/25 06:02:42 AM,44.69,45.54,45.45,49.60,,,
56,11/07/25 06:02:45 AM,44.65,45.55,45.34,49.62,,,
57,11/07/25 06:02:48 AM,44.56,45.59,45.37,49.68,,,
58,11/07/25 06:02:51 AM,44.60,45.72,45.34,49.68,,,
59,11/07/25 06:02:54 AM,44.58,45.68,45.41,49.73,,,
60,11/07/25 06:02:57 AM,44.53,45.72,45.37,49.66,,,
61,11/07/25 06:03:00 AM,44.47,45.73,45.41,49.64,,,
62,11/07/25 06:03:03 AM,44.49,45.73,45.45,49.68,,,
63,11/07/25 06:03:06 AM,44.47,45.77,45.34,49.62,,,
64,11/07/25 06:03:09 AM,44.37,45.64,45.36,49.57,,,
65,11/07/25 06:03:12 AM,44.35,45.72,45.45,49.60,,,
66,11/07/25 06:03:15 AM,44.22,45.70,45.43,49.55,,,
67,11/07/25 06:03:18 AM,44.11,45.59,45.32,49.66,,,
68,11/07/25 06:03:21 AM,44.20,45.64,45.39,49.62,,,
69,11/07/25 06:03:24 AM,44.15,45.68,45.39,49.62,,,
70,11/07/25 06:03:27 AM,44.10,45.52,45.43,49.57,,,
71,11/07/25 06:03:30 AM,44.10,45.63,45.45,49.53,,,
72,11/07/25 06:03:33 AM,44.06,45.72,45.43,49.48,,,
73,11/07/25 06:03:36 AM,44.15,45.66,45.43,49.53,,,
74,11/07/25 06:03:39 AM,44.10,45.72,45.48,49.48,,,
75,11/07/25 06:03:42 AM,43.70,45.73,45.46,49.55,,,
76,11/07/25 06:03:45 AM,43.83,45.81,45.41,49.51,,,
77,11/07/25 06:03:48 AM,43.74,45.97,45.30,49.57,,,
78,11/07/25 06:03:51 AM,43.66,46.00,45.36,49.46,,,
79,11/07/25 06:03:54 AM,43.65,46.04,45.39,49.48,,,
80,11/07/25 06:03:57 AM,43.95,46.11,45.36,49.42,,,
81,11/07/25 06:04:00 AM,44.24,46.09,45.46,49.46,,,
82,11/07/25 06:04:03 AM,44.22,46.17,45.45,49.44,,,
83,11/07/25 06:04:06 AM,44.28,46.20,45.45,49.42,,,
84,11/07/25 06:04:09 AM,44.20,46.17,45.54,49.44,,,
85,11/07/25 06:04:12 AM,44.22,46.15,45.54,49.46,,,
86,11/07/25 06:04:15 AM,44.31,46.13,45.54,49.46,,,
87,11/07/25 06:04:18 AM,44.24,46.09,45.55,49.55,,,
88,11/07/25 06:04:21 AM,44.28,46.00,45.59,49.59,,,
89,11/07/25 06:04:24 AM,44.22,46.00,45.57,49.82,,,
90,11/07/25 06:04:27 AM,44.24,45.95,45.54,49.93,,,
91,11/07/25 06:04:30 AM,44.28,45.86,45.54,49.93,,,
92,11/07/25 06:04:33 AM,44.37,45.84,45.46,50.14,,,
93,11/07/25 06:04:36 AM,44.35,45.82,45.50,50.13,,,
94,11/07/25 06:04:39 AM,44.33,45.75,45.55,50.16,,,
95,11/07/25 06:04:42 AM,44.40,45.77,45.54,50.13,,,
96,11/07/25 06:04:45 AM,44.40,45.84,45.57,50.14,,,
97,11/07/25 06:04:48 AM,44.42,45.72,45.59,50.04,,,
98,11/07/25 06:04:51 AM,44.44,45.82,45.54,50.16,,,
99,11/07/25 06:04:54 AM,44.46,45.77,45.54,50.22,,,
100,11/07/25 06:04:57 AM,44.44,45.75,45.54,50.22,,,
101,11/07/25 06:05:00 AM,44.47,45.77,45.57,50.18,,,
102,11/07/25 06:05:03 AM,44.47,45.73,45.50,50.25,,,
103,11/07/25 06:05:06 AM,44.46,45.79,45.57,50.14,,,
104,11/07/25 06:05:09 AM,44.51,45.72,45.59,50.16,,,
105,11/07/25 06:05:12 AM,44.49,45.72,45.57,50.05,,,
106,11/07/25 06:05:15 AM,44.38,45.72,45.61,50.05,,,
107,11/07/25 06:05:18 AM,44.46,45.72,45.59,50.02,,,
108,11/07/25 06:05:21 AM,44.42,45.82,45.61,49.98,,,
109,11/07/25 06:05:24 AM,44.44,45.88,45.55,49.98,,,
110,11/07/25 06:05:27 AM,44.44,45.81,45.59,49.96,,,
111,11/07/25 06:05:30 AM,44.37,45.82,45.54,49.89,,,
112,11/07/25 06:05:33 AM,44.44,45.77,45.55,49.82,,,
113,11/07/25 06:05:36 AM,44.42,45.82,45.50,49.84,,,
114,11/07/25 06:05:39 AM,44.31,45.82,45.55,49.86,,,
115,11/07/25 06:05:42 AM,44.38,45.84,45.54,49.84,,,
116,11/07/25 06:05:45 AM,44.38,45.79,45.52,49.78,,,
117,11/07/25 06:05:48 AM,44.40,45.90,45.55,49.75,,,
118,11/07/25 06:05:51 AM,44.44,45.93,45.57,49.62,,,
119,11/07/25 06:05:54 AM,44.46,45.86,45.61,49.57,,,
120,11/07/25 06:05:57 AM,44.49,45.91,45.57,49.55,,,
121,11/07/25 06:06:00 AM,44.47,46.02,45.64,49.50,,,
122,11/07/25 06:06:03 AM,44.47,45.97,45.70,49.44,,,
123,11/07/25 06:06:06 AM,44.49,45.97,45.72,49.41,,,
124,11/07/25 06:06:09 AM,44.49,46.04,45.70,49.41,,,
125,11/07/25 06:06:12 AM,44.53,46.09,45.72,49.37,,,
126,11/07/25 06:06:15 AM,44.46,46.04,45.70,49.30,,,
127,11/07/25 06:06:18 AM,44.49,46.11,45.79,49.41,,,
128,11/07/25 06:06:21 AM,44.47,46.17,45.79,49.35,,,
129,11/07/25 06:06:24 AM,44.51,46.11,45.73,49.28,,,
130,11/07/25 06:06:27 AM,44.56,46.15,45.73,49.32,,,
131,11/07/25 06:06:30 AM,44.56,46.20,45.79,49.28,,,
132,11/07/25 06:06:33 AM,44.56,46.08,45.79,49.28,,,
133,11/07/25 06:06:36 AM,44.56,46.08,45.77,49.30,,,
134,11/07/25 06:06:39 AM,44.56,46.18,45.72,49.30,,,
135,11/07/25 06:06:42 AM,44.58,46.27,45.79,49.33,,,
136,11/07/25 06:06:45 AM,44.55,46.20,45.72,49.26,,,
137,11/07/25 06:06:48 AM,44.55,46.29,45.73,49.12,,,
138,11/07/25 06:06:51 AM,44.62,46.27,45.75,49.08,,,
139,11/07/25 06:06:54 AM,44.64,46.27,45.68,49.03,,,
140,11/07/25 06:06:57 AM,44.56,46.29,45.66,49.08,,,
141,11/07/25 06:07:00 AM,44.56,46.27,45.68,49.05,,,
142,11/07/25 06:07:03 AM,44.65,46.26,45.63,49.01,,,
143,11/07/25 06:07:06 AM,44.60,46.26,45.59,48.94,,,
144,11/07/25 06:07:09 AM,44.62,46.22,45.55,48.94,,,
145,11/07/25 06:07:12 AM,44.62,46.22,45.50,48.97,,,
146,11/07/25 06:07:15 AM,44.62,46.17,45.55,48.99,,,
147,11/07/25 06:07:18 AM,44.67,45.99,45.48,49.03,,,
148,11/07/25 06:07:21 AM,44.65,45.91,45.41,49.15,,,
149,11/07/25 06:07:24 AM,44.64,45.73,45.45,49.23,,,
150,11/07/25 06:07:27 AM,44.65,45.59,45.34,49.17,,,
151,11/07/25 06:07:30 AM,44.67,45.48,45.32,49.28,,,
152,11/07/25 06:07:33 AM,44.65,45.43,45.28,49.32,,,
153,11/07/25 06:07:36 AM,44.64,45.41,45.25,49.41,,,
154,11/07/25 06:07:39 AM,44.74,45.39,45.21,49.44,,,
155,11/07/25 06:07:42 AM,44.65,45.34,45.23,49.41,,,
156,11/07/25 06:07:45 AM,44.78,45.32,45.18,49.37,,,
157,11/07/25 06:07:48 AM,44.80,45.25,45.16,49.41,,,
158,11/07/25 06:07:51 AM,44.80,45.34,45.16,49.46,,,
159,11/07/25 06:07:54 AM,44.74,45.43,45.10,49.44,,,
160,11/07/25 06:07:57 AM,44.74,45.46,45.12,49.44,,,
161,11/07/25 06:08:00 AM,44.85,45.43,45.05,49.48,,,
162,11/07/25 06:08:03 AM,44.83,45.45,45.14,49.53,,,
163,11/07/25 06:08:06 AM,44.87,45.45,45.07,49.57,,,
164,11/07/25 06:08:09 AM,44.83,45.46,45.01,49.46,,,
165,11/07/25 06:08:12 AM,44.80,45.39,45.00,49.59,,,
166,11/07/25 06:08:15 AM,44.76,45.43,45.01,49.60,,,
167,11/07/25 06:08:18 AM,44.76,45.39,45.00,49.59,,,
168,11/07/25 06:08:21 AM,44.82,45.39,44.98,49.62,,,
169,11/07/25 06:08:24 AM,44.82,45.45,45.00,49.64,,,
170,11/07/25 06:08:27 AM,44.78,45.52,45.09,49.75,,,
171,11/07/25 06:08:30 AM,44.76,45.63,45.16,49.80,,,
172,11/07/25 06:08:33 AM,44.74,45.57,45.25,49.86,,,
173,11/07/25 06:08:36 AM,44.74,45.59,45.21,49.89,,,
174,11/07/25 06:08:39 AM,44.69,45.61,45.30,49.86,,,
175,11/07/25 06:08:42 AM,44.69,45.68,45.25,49.93,,,
176,11/07/25 06:08:45 AM,44.64,45.73,45.32,49.93,,,
177,11/07/25 06:08:48 AM,44.73,45.73,45.36,50.00,,,
178,11/07/25 06:08:51 AM,44.73,45.82,45.36,49.98,,,
179,11/07/25 06:08:54 AM,44.71,45.86,45.39,49.98,,,
180,11/07/25 06:08:57 AM,44.71,45.91,45.39,49.93,,,
181,11/07/25 06:09:00 AM,44.78,45.95,45.37,50.05,,,
182,11/07/25 06:09:03 AM,44.74,45.93,45.43,50.02,,,
183,11/07/25 06:09:06 AM,44.78,45.95,45.50,49.96,,,
184,11/07/25 06:09:09 AM,44.74,45.90,45.50,49.93,,,
185,11/07/25 06:09:12 AM,44.69,45.95,45.63,50.04,,,
186,11/07/25 06:09:15 AM,44.74,45.90,45.70,50.14,,,
187,11/07/25 06:09:18 AM,44.73,45.91,45.72,50.16,,,
188,11/07/25 06:09:21 AM,44.73,45.99,45.73,50.11,,,
189,11/07/25 06:09:24 AM,44.73,45.95,45.72,50.09,,,
190,11/07/25 06:09:27 AM,44.78,45.97,45.79,49.96,,,
191,11/07/25 06:09:30 AM,44.73,45.99,45.75,49.89,,,
192,11/07/25 06:09:33 AM,44.74,45.95,45.82,49.89,,,
193,11/07/25 06:09:36 AM,44.76,45.95,45.82,49.84,,,
194,11/07/25 06:09:39 AM,44.71,45.97,45.88,49.84,,,
195,11/07/25 06:09:42 AM,44.76,45.93,45.90,49.84,,,
196,11/07/25 06:09:45 AM,44.85,45.93,45.93,49.87,,,
197,11/07/25 06:09:48 AM,44.87,45.90,45.90,49.91,,,
198,11/07/25 06:09:51 AM,44.87,46.02,45.91,49.87,,,
199,11/07/25 06:09:54 AM,44.91,46.09,45.84,49.93,,,
200,11/07/25 06:09:57 AM,44.83,46.13,45.88,49.89,,,
201,11/07/25 06:10:00 AM,44.89,46.09,45.86,49.86,,,
202,11/07/25 06:10:03 AM,44.20,46.04,45.95,49.84,,,
203,11/07/25 06:10:06 AM,44.26,45.36,45.95,49.91,,,
204,11/07/25 06:10:09 AM,44.04,45.57,45.81,49.87,,,
205,11/07/25 06:10:12 AM,44.38,45.41,45.95,49.95,,,
206,11/07/25 06:10:15 AM,44.44,45.37,45.79,49.89,,,
207,11/07/25 06:10:18 AM,44.69,45.27,45.77,49.84,,,
208,11/07/25 06:10:21 AM,44.80,45.27,45.79,49.78,,,
209,11/07/25 06:10:24 AM,44.85,45.27,45.81,49.75,,,
210,11/07/25 06:10:27 AM,44.96,45.27,45.73,49.82,,,
211,11/07/25 06:10:30 AM,44.94,45.23,45.73,49.75,,,
212,11/07/25 06:10:33 AM,44.73,45.27,45.66,49.78,,,
213,11/07/25 06:10:36 AM,44.82,45.14,45.79,49.80,,,
214,11/07/25 06:10:39 AM,44.64,45.36,45.82,49.78,,,
215,11/07/25 06:10:42 AM,44.64,45.32,45.81,49.77,,,
216,11/07/25 06:10:45 AM,44.51,45.36,45.73,49.78,,,
217,11/07/25 06:10:48 AM,44.71,45.32,45.77,49.75,,,
218,11/07/25 06:10:51 AM,44.58,45.41,45.79,49.77,,,
219,11/07/25 06:10:54 AM,43.83,45.79,45.84,49.75,,,
220,11/07/25 06:10:57 AM,43.97,45.81,45.90,49.77,,,
221,11/07/25 06:11:00 AM,43.97,46.27,45.93,49.69,,,
222,11/07/25 06:11:03 AM,44.19,46.35,45.95,49.75,,,
223,11/07/25 06:11:06 AM,44.62,46.42,45.90,49.73,,,
224,11/07/25 06:11:09 AM,44.60,46.44,45.93,49.75,,,
225,11/07/25 06:11:12 AM,44.13,46.51,45.90,49.73,,,
226,11/07/25 06:11:15 AM,44.55,46.47,45.93,49.75,,,
227,11/07/25 06:11:18 AM,44.56,46.40,45.77,49.78,,,
228,11/07/25 06:11:21 AM,44.53,46.36,45.79,49.86,,,
229,11/07/25 06:11:24 AM,44.58,46.36,45.79,49.86,,,
230,11/07/25 06:11:27 AM,44.55,46.20,45.73,49.89,,,
231,11/07/25 06:11:30 AM,44.58,46.17,45.75,49.95,,,
232,11/07/25 06:11:33 AM,44.47,46.22,45.68,49.82,,,
233,11/07/25 06:11:36 AM,44.51,46.20,45.70,49.78,,,
234,11/07/25 06:11:39 AM,44.58,46.11,45.72,49.78,,,
235,11/07/25 06:11:42 AM,44.62,46.18,45.79,49.78,,,
236,11/07/25 06:11:45 AM,44.64,46.09,45.81,49.69,,,
237,11/07/25 06:11:48 AM,44.67,46.17,45.77,49.68,,,
238,11/07/25 06:11:51 AM,44.74,46.24,45.82,49.71,,,
239,11/07/25 06:11:54 AM,44.74,46.24,45.79,49.75,,,
240,11/07/25 06:11:57 AM,44.74,46.18,45.77,49.82,,,
241,11/07/25 06:12:00 AM,44.76,46.18,45.81,49.84,,,
242,11/07/25 06:12:03 AM,44.78,46.35,45.79,49.87,,,
243,11/07/25 06:12:06 AM,44.80,46.35,45.77,50.05,,,
244,11/07/25 06:12:09 AM,44.83,46.35,45.86,50.07,,,
245,11/07/25 06:12:12 AM,44.80,46.29,45.88,50.11,,,
246,11/07/25 06:12:15 AM,44.85,46.18,45.88,50.00,,,
247,11/07/25 06:12:18 AM,44.89,46.29,45.84,49.98,,,
248,11/07/25 06:12:21 AM,44.85,46.26,45.86,50.07,,,
249,11/07/25 06:12:24 AM,44.82,46.36,45.84,50.14,,,
250,11/07/25 06:12:27 AM,44.87,46.35,45.72,50.18,,,
251,11/07/25 06:12:30 AM,44.82,46.38,45.70,50.23,,,
252,11/07/25 06:12:33 AM,44.76,46.36,45.72,50.34,,,
253,11/07/25 06:12:36 AM,44.78,46.29,45.66,50.34,,,
254,11/07/25 06:12:39 AM,44.78,46.22,45.59,50.31,,,
255,11/07/25 06:12:42 AM,44.82,46.24,45.70,50.14,,,
256,11/07/25 06:12:45 AM,44.82,46.11,45.72,50.23,,,
257,11/07/25 06:12:48 AM,44.87,46.17,45.79,50.23,,,
258,11/07/25 06:12:51 AM,44.92,46.11,45.81,50.27,,,
259,11/07/25 06:12:54 AM,44.91,46.11,45.84,50.20,,,
260,11/07/25 06:12:57 AM,44.91,46.11,45.77,50.11,,,
261,11/07/25 06:13:00 AM,44.91,46.18,45.81,50.13,,,
262,11/07/25 06:13:03 AM,44.80,46.18,45.79,50.04,,,
263,11/07/25 06:13:06 AM,44.80,46.20,45.81,50.00,,,
264,11/07/25 06:13:09 AM,44.76,46.26,45.86,49.98,,,
265,11/07/25 06:13:12 AM,44.71,46.24,45.79,49.89,,,
266,11/07/25 06:13:15 AM,44.74,46.29,45.86,49.87,,,
267,11/07/25 06:13:18 AM,44.76,46.35,45.86,49.82,,,
268,11/07/25 06:13:21 AM,44.64,46.63,46.04,49.84,,,
269,11/07/25 06:13:24 AM,44.62,46.71,45.97,49.84,,,
270,11/07/25 06:13:27 AM,44.67,46.58,46.04,49.77,,,
271,11/07/25 06:13:30 AM,44.60,46.72,46.15,49.86,,,
272,11/07/25 06:13:33 AM,44.85,46.80,46.18,49.89,,,
273,11/07/25 06:13:36 AM,44.98,46.74,46.44,50.04,,,
274,11/07/25 06:13:39 AM,45.00,46.67,46.51,50.22,,,
275,11/07/25 06:13:42 AM,45.03,46.71,46.47,50.16,,,
276,11/07/25 06:13:45 AM,45.01,46.71,46.71,50.07,,,
277,11/07/25 06:13:48 AM,45.10,46.71,46.76,50.04,,,
278,11/07/25 06:13:51 AM,45.03,46.58,46.74,50.11,,,
279,11/07/25 06:13:54 AM,45.05,46.60,46.76,50.09,,,
280,11/07/25 06:13:57 AM,45.10,46.60,46.83,50.02,,,
281,11/07/25 06:14:00 AM,45.14,46.69,46.80,49.93,,,
282,11/07/25 06:14:03 AM,45.25,46.83,46.74,49.93,,,
283,11/07/25 06:14:06 AM,45.21,46.74,46.71,49.89,,,
284,11/07/25 06:14:09 AM,45.27,46.71,46.76,49.95,,,
285,11/07/25 06:14:12 AM,45.19,46.71,46.69,50.02,,,
286,11/07/25 06:14:15 AM,45.18,46.51,46.74,50.02,,,
287,11/07/25 06:14:18 AM,45.16,46.47,46.74,50.00,,,
288,11/07/25 06:14:21 AM,45.18,46.36,46.60,50.07,,,
289,11/07/25 06:14:24 AM,45.09,46.33,46.62,50.02,,,
290,11/07/25 06:14:27 AM,45.14,46.31,46.58,50.11,,,
291,11/07/25 06:14:30 AM,45.19,46.36,46.58,50.05,,,
292,11/07/25 06:14:33 AM,45.10,46.38,46.56,50.07,,,
293,11/07/25 06:14:36 AM,45.00,46.38,46.58,50.14,,,
294,11/07/25 06:14:39 AM,45.05,46.38,46.58,50.05,,,
295,11/07/25 06:14:42 AM,44.94,46.44,46.54,50.05,,,
296,11/07/25 06:14:45 AM,44.89,46.42,46.44,50.07,,,
297,11/07/25 06:14:48 AM,44.87,46.35,46.40,50.09,,,
298,11/07/25 06:14:51 AM,44.82,46.36,46.38,50.11,,,
299,11/07/25 06:14:54 AM,44.76,46.35,46.33,50.04,,,
300,11/07/25 06:14:57 AM,44.76,46.31,46.31,49.98,,,
301,11/07/25 06:15:00 AM,44.80,46.26,46.35,49.93,,,
302,11/07/25 06:15:03 AM,44.82,46.33,46.33,49.89,,,
303,11/07/25 06:15:06 AM,44.85,46.33,46.24,49.95,,,
304,11/07/25 06:15:09 AM,44.80,46.35,46.24,49.98,,,
305,11/07/25 06:15:12 AM,44.78,46.42,46.26,50.02,,,
306,11/07/25 06:15:15 AM,44.80,46.44,46.20,50.00,,,
307,11/07/25 06:15:18 AM,44.74,46.38,46.17,49.95,,,
308,11/07/25 06:15:21 AM,44.71,46.36,46.17,49.86,,,
309,11/07/25 06:15:24 AM,44.74,46.36,46.11,49.86,,,
310,11/07/25 06:15:27 AM,44.71,46.36,46.11,49.87,,,
311,11/07/25 06:15:30 AM,44.74,46.31,46.13,49.95,,,
312,11/07/25 06:15:33 AM,44.74,46.31,46.06,49.86,,,
313,11/07/25 06:15:36 AM,44.67,46.27,46.02,49.86,,,
314,11/07/25 06:15:39 AM,44.67,46.24,46.02,49.84,,,
315,11/07/25 06:15:42 AM,44.69,46.31,45.97,49.82,,,
316,11/07/25 06:15:45 AM,44.76,46.26,45.97,49.78,,,
317,11/07/25 06:15:48 AM,44.76,46.20,45.95,49.89,,,
318,11/07/25 06:15:51 AM,44.73,46.22,45.95,49.78,,,
319,11/07/25 06:15:54 AM,44.82,46.20,45.99,49.77,,,
320,11/07/25 06:15:57 AM,44.71,46.17,45.91,49.78,,,
321,11/07/25 06:16:00 AM,44.73,46.22,45.91,49.77,,,
322,11/07/25 06:16:03 AM,44.71,46.18,45.93,49.77,,,
323,11/07/25 06:16:06 AM,44.67,46.20,45.93,49.71,,,
324,11/07/25 06:16:09 AM,44.67,46.26,45.90,49.73,,,
325,11/07/25 06:16:12 AM,44.64,46.24,45.90,49.71,,,
326,11/07/25 06:16:15 AM,44.62,46.26,45.82,49.71,,,
327,11/07/25 06:16:18 AM,44.58,46.20,45.88,49.75,,,
328,11/07/25 06:16:21 AM,44.62,46.20,45.86,49.75,,,
329,11/07/25 06:16:24 AM,44.55,46.17,45.93,49.73,,,
330,11/07/25 06:16:27 AM,44.62,46.09,45.91,49.75,,,
331,11/07/25 06:16:30 AM,44.65,46.11,45.90,49.78,,,
332,11/07/25 06:16:33 AM,44.60,46.20,46.00,49.93,,,
333,11/07/25 06:16:36 AM,44.64,46.27,45.99,49.89,,,
334,11/07/25 06:16:39 AM,44.67,46.20,45.93,49.96,,,
335,11/07/25 06:16:42 AM,44.67,46.26,45.99,50.14,,,
336,11/07/25 06:16:45 AM,44.73,46.20,46.00,50.23,,,
337,11/07/25 06:16:48 AM,44.64,46.17,45.99,50.27,,,
338,11/07/25 06:16:51 AM,44.67,46.17,45.97,50.31,,,
339,11/07/25 06:16:54 AM,44.65,46.18,46.04,50.40,,,
340,11/07/25 06:16:57 AM,44.71,45.99,45.99,50.27,,,
341,11/07/25 06:17:00 AM,44.67,46.08,45.93,50.31,,,
342,11/07/25 06:17:03 AM,44.65,46.06,45.95,50.34,,,
343,11/07/25 06:17:06 AM,44.60,46.18,45.97,50.38,,,
344,11/07/25 06:17:09 AM,44.65,46.26,45.93,50.40,,,
345,11/07/25 06:17:12 AM,44.65,46.20,46.00,50.41,,,
346,11/07/25 06:17:15 AM,44.64,46.22,45.99,50.31,,,
347,11/07/25 06:17:18 AM,44.56,46.26,46.00,50.23,,,
348,11/07/25 06:17:21 AM,44.62,46.26,46.02,50.27,,,
349,11/07/25 06:17:24 AM,44.60,46.17,45.99,50.23,,,
350,11/07/25 06:17:27 AM,44.56,46.17,45.99,50.23,,,
351,11/07/25 06:17:30 AM,44.58,46.15,45.93,50.23,,,
352,11/07/25 06:17:33 AM,44.60,46.11,45.95,50.23,,,
353,11/07/25 06:17:36 AM,44.62,46.18,45.97,50.25,,,
354,11/07/25 06:17:39 AM,44.53,46.26,45.93,50.25,,,
355,11/07/25 06:17:42 AM,44.64,46.15,45.95,50.23,,,
356,11/07/25 06:17:45 AM,44.53,46.17,45.91,50.20,,,
357,11/07/25 06:17:48 AM,44.53,46.20,45.95,50.09,,,
358,11/07/25 06:17:51 AM,44.58,46.15,45.95,50.05,,,
359,11/07/25 06:17:54 AM,44.62,46.18,45.93,50.02,,,
360,11/07/25 06:17:57 AM,44.62,46.17,45.93,50.00,,,
361,11/07/25 06:18:00 AM,44.58,46.26,45.91,49.96,,,
362,11/07/25 06:18:03 AM,44.64,46.20,45.97,50.00,,,
363,11/07/25 06:18:06 AM,44.65,46.24,45.86,49.89,,,
364,11/07/25 06:18:09 AM,44.60,46.20,45.90,49.89,,,
365,11/07/25 06:18:12 AM,44.65,46.24,45.91,49.91,,,
366,11/07/25 06:18:15 AM,44.58,46.22,45.90,49.89,,,
367,11/07/25 06:18:18 AM,44.65,46.24,45.82,49.86,,,
368,11/07/25 06:18:21 AM,44.64,46.20,45.91,49.87,,,
369,11/07/25 06:18:24 AM,44.67,46.20,45.91,49.82,,,
370,11/07/25 06:18:27 AM,44.67,46.22,45.95,49.87,,,
371,11/07/25 06:18:30 AM,44.62,46.22,45.84,49.82,,,
372,11/07/25 06:18:33 AM,44.58,46.20,45.84,49.82,,,
373,11/07/25 06:18:36 AM,44.60,46.18,45.82,49.80,,,
374,11/07/25 06:18:39 AM,44.58,46.17,45.81,49.77,,,
375,11/07/25 06:18:42 AM,44.60,46.17,45.73,49.73,,,
